"Date","Scenario","product_subproduct","Volumes"
2021-07-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",2
2021-08-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2021-09-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2021-10-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2021-11-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2021-12-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-01-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-02-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-03-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-04-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-05-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-06-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-07-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-08-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-09-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-10-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-11-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2022-12-01,"Service Delivery - RBO + SDP + EASE - Te","Converged Services_and_Install",0
2019-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",8
2019-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",17
2019-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",41
2019-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",16
2019-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",35
2019-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",20
2019-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",70
2019-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",65
2019-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",69
2019-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",79
2019-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",27
2019-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",35
2020-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",37
2020-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",47
2020-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",46
2020-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",31
2020-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",33
2020-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",39
2020-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",19
2020-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",19
2020-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",50
2020-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",34
2020-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",54
2020-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",30
2021-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",65
2021-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",110
2021-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",46
2021-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",99
2021-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",41
2021-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",25
2021-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",5
2021-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2021-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2021-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2021-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2021-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-05-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-06-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-07-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-08-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-09-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-10-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-11-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2022-12-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Change",0
2019-01-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",55
2019-02-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",35
2019-03-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",112
2019-04-01,"Service Delivery - RBO + SDP + EASE - Te","Dark Fiber_and_Install",118
